City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Dunedin,NZ,2022-06-20 03:02:09,-45.8742,170.5036,47.8,73,89,3.0
252,Flinders,AU,2022-06-20 03:06:40,-34.5833,150.8552,63.37,78,100,4.0
253,Algodones,MX,2022-06-20 03:06:40,20.3888,-105.4773,75.74,82,60,3.06
254,Qena,EG,2022-06-20 03:06:41,26.1615,32.7183,80.35,26,0,7.4
255,Tura,IN,2022-06-20 03:06:41,25.5198,90.2201,77.54,91,100,4.43
256,Kjollefjord,NO,2022-06-20 03:06:41,70.9457,27.3465,44.65,100,100,0.0
257,Kirovskiy,RU,2022-06-20 03:06:42,45.0917,133.5136,75.51,49,91,6.82
258,Sao Filipe,CV,2022-06-20 03:06:42,14.8961,-24.4956,73.71,94,100,10.92
259,Mushie,CD,2022-06-20 03:06:42,-3.0167,16.9,72.93,69,100,1.99
260,Urusha,RU,2022-06-20 03:06:43,54.05,122.9,63.01,68,100,8.86
261,Mareeba,AU,2022-06-20 03:06:43,-17.0,145.4333,76.48,52,11,7.4
262,Bonthe,SL,2022-06-20 03:06:44,7.5264,-12.505,77.04,76,7,4.47
263,Oistins,BB,2022-06-20 03:06:44,13.0667,-59.5333,80.02,70,78,15.75
264,Saint-Prosper,CA,2022-06-20 03:06:44,46.2117,-70.4811,46.71,96,99,1.52
265,Ikalamavony,MG,2022-06-20 03:06:45,-21.15,46.5833,55.4,92,13,5.88
266,Havoysund,NO,2022-06-20 03:06:45,70.9963,24.6622,44.83,82,15,2.51
267,Padang,ID,2022-06-20 03:06:45,-0.9492,100.3543,80.65,85,100,5.61
268,Preobrazheniye,RU,2022-06-20 03:06:46,42.9019,133.9064,75.11,45,97,9.04
269,Basco,PH,2022-06-20 03:06:46,20.4487,121.9702,85.71,75,100,13.85
270,Noshiro,JP,2022-06-20 03:06:47,40.2039,140.0242,70.88,73,61,9.08
271,Floriano,BR,2022-06-20 03:06:47,-6.7669,-43.0225,76.08,48,8,5.59
272,Montepuez,MZ,2022-06-20 03:06:47,-13.1256,38.9997,55.49,89,5,4.81
273,Kasongo-Lunda,CD,2022-06-20 03:06:48,-6.4667,16.8167,64.96,70,92,1.66
274,Hobyo,SO,2022-06-20 03:07:48,5.3505,48.5268,77.41,82,20,23.0
275,Isla Aguada,MX,2022-06-20 03:07:48,18.7833,-91.4667,81.32,79,100,12.59
276,Chebsara,RU,2022-06-20 03:07:49,59.2002,38.8356,49.33,93,7,8.43
277,San Patricio,US,2022-06-20 03:07:49,28.017,-97.5169,84.88,76,3,9.86
278,Bethel,US,2022-06-20 03:07:49,41.3712,-73.414,61.75,62,0,0.0
279,Bartoszyce,PL,2022-06-20 03:07:50,54.2535,20.8082,53.26,98,90,6.51
280,Xining,CN,2022-06-20 03:07:23,36.6167,101.7667,56.95,81,100,3.33
